PISTON L01S03.tmx x=432.0 y=288.0 w=0.0 h=0.0 PH=384.0 groundY=96.0 mode=-
PISTON L01S10.tmx x=192.0 y=320.0 w=48.0 h=64.0 PH=384.0 groundY=64.0 mode=-
PISTON L01S10.tmx x=64.0 y=320.0 w=48.0 h=64.0 PH=384.0 groundY=64.0 mode=-
PISTON L01S14.tmx x=96.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L01S15.tmx x=128.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L01S15.tmx x=240.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L01S15.tmx x=352.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L01S18.tmx x=288.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L01S21.tmx x=128.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L01S21.tmx x=336.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L01S24.tmx x=80.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S06.tmx x=240.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L02S07.tmx x=240.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S07.tmx x=352.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S07.tmx x=464.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S15.tmx x=464.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L02S18.tmx x=224.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S18.tmx x=384.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L02S23.tmx x=176.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L02S23.tmx x=288.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L02S23.tmx x=400.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L03S06.tmx x=464.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L03S15.tmx x=160.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L03S15.tmx x=304.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L03S18.tmx x=160.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L03S19.tmx x=304.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L03S20.tmx x=80.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L03S20.tmx x=224.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L03S20.tmx x=368.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L03S23.tmx x=288.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L04S07.tmx x=64.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L04S07.tmx x=208.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L04S14.tmx x=288.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L04S16.tmx x=368.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L04S16.tmx x=432.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L04S22.tmx x=224.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L05S06.tmx x=240.0 y=352.0 w=48.0 h=64.0 PH=384.0 groundY=32.0 mode=-
PISTON L05S07.tmx x=240.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L05S07.tmx x=352.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L05S07.tmx x=464.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L05S15.tmx x=464.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L05S18.tmx x=224.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L05S18.tmx x=384.0 y=368.0 w=48.0 h=64.0 PH=384.0 groundY=16.0 mode=-
PISTON L05S23.tmx x=176.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L05S23.tmx x=288.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
PISTON L05S23.tmx x=400.0 y=384.0 w=48.0 h=64.0 PH=384.0 groundY=0.0 mode=-
SUMMARY maps_ok=125 maps_failed=0
SEMANTICS flush=true onePx=true deep=true
